batch_date,product_line,raw_material_supplier,shift,batch_size_units,operator,machine_id,planned_cycle_time_min,material_grade,humidity_pct,temperature_c,rush_order
2025-01-15,Line B,Supplier 1,night,901,Operator 2,Machine 4,42.31,premium,47.06,17.77,true
2025-06-17,Line A,Supplier 3,night,807,Operator 5,Machine 1,12.1,premium,27.36,24.66,false
2024-02-05,Line B,Supplier 1,day,881,Operator 8,Machine 2,42.47,premium,56.66,17.25,false
2025-09-09,Line A,Supplier 4,evening,605,Operator 3,Machine 5,38.69,premium,83.91,8.97,false
2024-06-05,Line A,Supplier 3,evening,691,Operator 8,Machine 6,31.3,standard,63.52,10.78,true
2024-06-13,Line A,Supplier 2,evening,1009,Operator 1,Machine 2,39.77,standard,67.02,18.99,false
2025-05-14,Line C,Supplier 1,day,1169,Operator 2,Machine 3,36.71,premium,43.52,33.18,false
2025-02-13,Line C,Supplier 3,evening,997,Operator 5,Machine 5,45.77,standard,54.45,13.32,false
2025-04-29,Line A,Supplier 1,night,527,Operator 4,Machine 1,22.07,standard,57.05,18.49,false
2025-12-23,Line B,Supplier 5,night,155,Operator 7,Machine 5,29.84,premium,47.72,18.65,true
2025-08-29,Line D,Supplier 2,night,364,Operator 2,Machine 3,43.37,standard,59.82,27.09,true
2025-09-18,Line D,Supplier 3,day,466,Operator 6,Machine 1,36.52,premium,46.91,34.88,false
2025-07-24,Line A,Supplier 2,day,879,Operator 2,Machine 1,30.27,premium,63.95,23.48,true
2024-05-29,Line A,Supplier 4,evening,1062,Operator 2,Machine 1,37.57,premium,29.92,6.79,false
2025-11-18,Line D,Supplier 5,evening,276,Operator 6,Machine 5,43.24,premium,46.57,26.05,false
2024-11-29,Line A,Supplier 2,evening,1067,Operator 2,Machine 4,28.19,premium,30.37,23.25,false
2024-04-02,Line C,Supplier 3,evening,475,Operator 4,Machine 1,32.64,standard,62.96,28.82,false
2025-05-05,Line C,Supplier 5,night,1077,Operator 2,Machine 3,24.99,premium,35.24,0.07,false
2025-02-15,Line B,Supplier 3,evening,735,Operator 6,Machine 3,16.07,premium,85.41,18.3,true
2025-09-18,Line A,Supplier 2,night,689,Operator 3,Machine 1,31.68,standard,68.27,17.04,false
2024-09-08,Line A,Supplier 2,day,577,Operator 7,Machine 1,25.41,standard,83.35,20.93,false
2025-01-25,Line A,Supplier 4,night,737,Operator 7,Machine 5,45.07,premium,31.98,22.69,false
2025-04-24,Line B,Supplier 4,night,423,Operator 3,Machine 4,17.07,standard,55.42,18.11,true
2025-12-06,Line C,Supplier 5,night,584,Operator 2,Machine 2,42.94,premium,31.74,14.78,false
2025-06-28,Line D,Supplier 1,night,1114,Operator 2,Machine 2,27.43,standard,55.05,26.66,false
2024-05-01,Line B,Supplier 3,day,302,Operator 2,Machine 5,33.74,premium,38.09,11.47,false
2024-05-03,Line B,Supplier 3,evening,527,Operator 2,Machine 5,44.86,premium,41.82,19.38,false
2025-01-20,Line B,Supplier 4,day,662,Operator 7,Machine 2,28.27,premium,42.21,14.01,false
2025-05-18,Line D,Supplier 3,day,689,Operator 4,Machine 2,27.24,premium,51.83,16.57,false
2025-08-02,Line A,Supplier 2,day,560,Operator 6,Machine 4,39.26,premium,28.68,18.07,true
2024-09-08,Line A,Supplier 2,evening,648,Operator 5,Machine 5,51.79,standard,57.68,16.25,false
2024-04-29,Line B,Supplier 3,day,1521,Operator 2,Machine 4,9.71,premium,49.82,9.72,false
2024-07-30,Line B,Supplier 3,night,860,Operator 1,Machine 5,16.36,premium,39.44,13.52,false
2024-05-18,Line C,Supplier 2,night,617,Operator 8,Machine 5,9.31,premium,32.8,28.18,true
2024-12-11,Line C,Supplier 3,day,574,Operator 4,Machine 1,42.1,standard,58.31,27.99,false
2024-05-22,Line A,Supplier 2,day,819,Operator 8,Machine 5,23.61,premium,33.35,23.94,false
2024-08-18,Line D,Supplier 3,night,298,Operator 4,Machine 5,12.65,premium,48.18,19.67,false
2024-06-27,Line C,Supplier 4,day,724,Operator 5,Machine 5,21.53,premium,26.42,23.15,true
2025-10-12,Line A,Supplier 1,day,934,Operator 5,Machine 2,39.81,premium,46.33,20.07,false
2025-04-30,Line B,Supplier 3,evening,956,Operator 2,Machine 4,43.71,premium,33.86,21.94,false
2025-03-24,Line A,Supplier 5,day,1170,Operator 2,Machine 3,38.67,premium,32.93,17.21,true
2025-12-14,Line B,Supplier 3,night,865,Operator 1,Machine 5,11.69,standard,57.09,18.92,false
2024-09-30,Line A,Supplier 5,day,757,Operator 2,Machine 4,20.17,premium,46.67,16.78,false
2024-11-19,Line B,Supplier 1,night,592,Operator 8,Machine 5,21.26,premium,48.98,18.9,true
2025-12-13,Line C,Supplier 1,night,1147,Operator 2,Machine 4,55.04,premium,34.44,15.06,false
2024-03-04,Line C,Supplier 3,day,833,Operator 8,Machine 1,17.47,premium,42.46,26.72,false
2024-08-01,Line B,Supplier 2,night,50,Operator 7,Machine 5,39.78,premium,20.2,8.98,true
2025-08-02,Line C,Supplier 3,evening,938,Operator 4,Machine 5,34.02,standard,55.04,35.08,false
2025-08-13,Line C,Supplier 4,night,1105,Operator 2,Machine 3,6.24,standard,33.79,30.18,true
2025-10-13,Line B,Supplier 5,evening,865,Operator 7,Machine 4,34.64,premium,42.23,27.84,false
2025-02-08,Line D,Supplier 3,night,50,Operator 5,Machine 2,20.0,premium,48.82,23.92,false
2025-10-14,Line C,Supplier 1,evening,193,Operator 6,Machine 5,41.2,premium,48.61,15.62,true
2024-08-04,Line D,Supplier 2,evening,424,Operator 7,Machine 3,23.76,premium,48.98,23.84,false
2024-08-06,Line C,Supplier 4,evening,489,Operator 5,Machine 1,37.86,standard,61.61,23.05,false
2024-10-25,Line B,Supplier 1,evening,589,Operator 7,Machine 3,38.52,premium,43.61,24.67,true
2025-04-07,Line B,Supplier 3,night,1063,Operator 2,Machine 6,39.6,standard,48.81,13.27,false
2024-12-28,Line C,Supplier 1,evening,661,Operator 2,Machine 5,32.44,premium,45.07,18.84,false
2024-02-18,Line D,Supplier 2,night,936,Operator 2,Machine 1,35.58,premium,44.92,19.26,true
2024-06-15,Line C,Supplier 4,evening,764,Operator 2,Machine 6,44.36,premium,55.24,23.54,false
2024-06-14,Line C,Supplier 2,evening,1108,Operator 2,Machine 2,12.67,premium,48.66,25.55,false
2025-10-17,Line A,Supplier 5,day,754,Operator 5,Machine 2,37.12,premium,61.35,19.56,false
2024-10-14,Line A,Supplier 2,night,522,Operator 8,Machine 4,24.25,premium,32.64,24.25,false
2024-10-12,Line A,Supplier 5,day,738,Operator 4,Machine 3,42.19,premium,34.42,11.71,false
2025-12-04,Line D,Supplier 3,night,282,Operator 3,Machine 3,18.36,premium,47.85,25.41,true
2024-09-12,Line C,Supplier 4,day,1224,Operator 2,Machine 3,43.96,standard,67.83,25.18,false
2024-03-18,Line D,Supplier 3,evening,528,Operator 4,Machine 6,12.4,premium,29.17,15.5,false
2024-06-11,Line D,Supplier 5,day,793,Operator 4,Machine 6,39.43,premium,62.16,25.34,false
2024-12-12,Line A,Supplier 1,night,976,Operator 1,Machine 5,36.78,premium,46.69,10.64,true
2025-02-18,Line C,Supplier 3,night,635,Operator 8,Machine 3,48.08,standard,55.58,20.6,true
2024-03-29,Line C,Supplier 5,night,50,Operator 2,Machine 5,39.06,standard,72.81,25.06,true
2024-11-02,Line C,Supplier 5,day,732,Operator 4,Machine 4,27.33,premium,67.21,6.9,false
2024-02-26,Line B,Supplier 2,night,970,Operator 3,Machine 2,20.94,premium,20.0,23.18,true
2025-06-11,Line C,Supplier 4,evening,686,Operator 2,Machine 2,29.96,premium,47.75,20.72,false
2024-01-18,Line C,Supplier 1,day,903,Operator 2,Machine 5,50.02,standard,64.84,23.79,false
2025-06-02,Line C,Supplier 3,day,647,Operator 6,Machine 4,35.31,premium,43.82,21.2,false
2025-10-05,Line B,Supplier 1,evening,507,Operator 7,Machine 4,55.69,standard,54.85,11.5,false
2024-09-26,Line D,Supplier 2,night,653,Operator 8,Machine 3,31.82,premium,38.15,18.91,false
2024-03-24,Line B,Supplier 3,evening,505,Operator 1,Machine 2,31.6,premium,33.27,13.98,false
2025-05-26,Line C,Supplier 5,evening,697,Operator 3,Machine 3,37.35,standard,52.99,16.76,false
2025-01-17,Line A,Supplier 4,night,863,Operator 1,Machine 2,23.9,standard,41.01,28.28,true
2025-09-01,Line B,Supplier 3,day,443,Operator 4,Machine 3,11.95,standard,53.14,19.57,false
2025-04-25,Line B,Supplier 2,night,449,Operator 2,Machine 5,29.16,premium,78.1,15.83,false
2025-04-19,Line C,Supplier 3,night,768,Operator 5,Machine 2,7.86,premium,20.0,20.72,false
2024-02-08,Line D,Supplier 4,night,493,Operator 8,Machine 4,36.08,premium,48.02,17.77,false
2024-01-26,Line B,Supplier 3,night,747,Operator 6,Machine 1,34.91,standard,55.63,22.8,true
2024-10-21,Line C,Supplier 3,night,844,Operator 6,Machine 3,52.3,standard,57.47,10.25,false
2024-09-19,Line A,Supplier 5,night,817,Operator 3,Machine 3,56.1,premium,33.07,29.5,false
2025-06-30,Line C,Supplier 3,night,351,Operator 1,Machine 3,18.71,premium,42.4,24.62,true
2025-10-10,Line B,Supplier 2,night,594,Operator 6,Machine 6,37.71,standard,61.15,24.1,false
2025-05-31,Line D,Supplier 3,day,774,Operator 7,Machine 1,27.98,standard,55.75,32.64,false
2024-06-27,Line B,Supplier 5,day,192,Operator 4,Machine 5,20.34,premium,55.27,28.32,false
2024-06-07,Line A,Supplier 1,day,1004,Operator 2,Machine 5,43.95,premium,38.91,33.15,true
2025-04-15,Line A,Supplier 1,day,544,Operator 6,Machine 4,29.11,premium,30.47,25.05,false
2024-12-07,Line A,Supplier 3,day,285,Operator 5,Machine 5,31.82,standard,64.84,25.15,false
2025-10-15,Line D,Supplier 4,night,1203,Operator 2,Machine 2,25.87,standard,72.81,17.2,false
2025-11-18,Line B,Supplier 4,day,404,Operator 6,Machine 3,27.51,standard,50.05,23.94,false
2024-11-15,Line A,Supplier 5,night,678,Operator 4,Machine 1,50.58,standard,24.5,17.41,true
2024-12-29,Line B,Supplier 3,day,366,Operator 1,Machine 6,17.68,premium,62.66,6.13,false
2025-04-03,Line C,Supplier 3,day,217,Operator 6,Machine 5,50.07,standard,69.32,24.5,false
2025-03-29,Line B,Supplier 2,evening,768,Operator 6,Machine 2,45.54,premium,49.06,25.86,false
2024-11-06,Line A,Supplier 2,night,364,Operator 3,Machine 6,36.14,premium,36.1,15.46,true
2024-09-10,Line B,Supplier 1,day,1018,Operator 2,Machine 2,33.44,premium,40.03,21.78,false
2025-12-10,Line C,Supplier 2,day,50,Operator 3,Machine 5,37.94,premium,58.17,18.02,false
2024-08-07,Line B,Supplier 4,night,449,Operator 1,Machine 6,38.45,premium,30.76,34.19,true
2024-05-24,Line A,Supplier 3,night,903,Operator 2,Machine 4,48.41,premium,40.43,19.02,false
2024-08-05,Line B,Supplier 1,day,779,Operator 6,Machine 5,35.61,premium,47.89,23.28,false
2025-08-06,Line A,Supplier 5,night,1045,Operator 2,Machine 5,36.2,standard,66.53,13.19,false
2024-11-07,Line A,Supplier 3,evening,89,Operator 8,Machine 3,12.7,premium,20.0,22.95,false
2025-01-14,Line B,Supplier 4,evening,487,Operator 1,Machine 1,44.98,premium,32.22,21.01,false
2025-08-15,Line A,Supplier 4,day,1088,Operator 2,Machine 5,39.15,standard,60.4,12.87,false
2024-09-07,Line C,Supplier 2,night,856,Operator 5,Machine 5,29.17,premium,40.4,19.88,true
2024-04-15,Line B,Supplier 2,evening,181,Operator 7,Machine 5,25.39,premium,60.03,25.07,false
2025-11-05,Line A,Supplier 1,day,1235,Operator 2,Machine 2,15.88,premium,24.95,21.71,true
2024-04-04,Line A,Supplier 4,night,1075,Operator 5,Machine 5,42.38,standard,83.85,31.42,false
2025-04-02,Line D,Supplier 1,day,882,Operator 2,Machine 1,33.91,premium,37.35,20.54,true
2025-11-17,Line D,Supplier 3,night,796,Operator 3,Machine 3,19.23,premium,45.6,21.74,false
2025-10-09,Line A,Supplier 1,day,763,Operator 4,Machine 5,26.26,premium,65.09,14.5,false
2025-09-06,Line B,Supplier 3,night,736,Operator 3,Machine 3,38.5,premium,33.97,22.0,false
2024-05-18,Line D,Supplier 1,day,50,Operator 4,Machine 5,30.86,premium,35.66,6.65,false
2025-01-18,Line A,Supplier 3,night,675,Operator 1,Machine 4,17.2,premium,73.43,13.97,false
2025-09-16,Line A,Supplier 2,evening,573,Operator 3,Machine 5,56.06,standard,51.84,8.96,false
2024-05-16,Line A,Supplier 4,evening,451,Operator 5,Machine 3,36.15,premium,36.47,21.49,false
2024-01-26,Line C,Supplier 5,night,115,Operator 7,Machine 5,25.61,premium,56.12,22.72,false
2025-12-05,Line B,Supplier 3,night,749,Operator 6,Machine 2,19.55,standard,63.1,6.79,true
2024-10-22,Line D,Supplier 2,night,742,Operator 8,Machine 5,40.55,standard,60.69,27.5,true
2024-11-05,Line B,Supplier 4,day,275,Operator 1,Machine 2,40.05,premium,37.72,20.39,false
2025-07-23,Line B,Supplier 2,evening,936,Operator 5,Machine 4,23.37,premium,43.43,23.79,false
2025-07-28,Line A,Supplier 4,night,400,Operator 3,Machine 3,47.16,premium,37.77,19.7,false
2025-08-06,Line A,Supplier 5,night,659,Operator 3,Machine 1,23.02,premium,41.53,26.23,true
2025-02-03,Line A,Supplier 4,day,863,Operator 2,Machine 1,31.94,premium,55.79,30.9,false
2024-03-01,Line D,Supplier 4,day,532,Operator 7,Machine 6,47.77,standard,58.9,14.15,false
2024-04-19,Line B,Supplier 3,night,1151,Operator 2,Machine 3,32.39,premium,59.23,23.87,true
2025-09-16,Line B,Supplier 3,night,728,Operator 6,Machine 2,15.07,premium,41.71,18.82,true
2025-03-04,Line D,Supplier 4,day,879,Operator 4,Machine 4,10.73,standard,47.44,24.38,false
2024-06-11,Line A,Supplier 5,day,689,Operator 1,Machine 4,21.28,standard,68.49,12.85,false
2024-08-16,Line B,Supplier 2,night,1213,Operator 1,Machine 4,28.9,premium,23.53,25.98,false
2024-07-04,Line B,Supplier 3,day,1323,Operator 2,Machine 5,50.03,premium,29.35,23.91,false
2025-03-01,Line C,Supplier 1,day,213,Operator 6,Machine 6,43.62,premium,55.33,16.85,false
2024-12-05,Line D,Supplier 3,day,723,Operator 7,Machine 5,10.4,standard,58.77,18.52,false
2025-02-04,Line A,Supplier 5,day,612,Operator 3,Machine 1,17.64,premium,45.14,18.94,false
2024-01-24,Line B,Supplier 2,evening,456,Operator 2,Machine 1,31.33,premium,45.27,8.87,false
2025-01-31,Line B,Supplier 3,night,933,Operator 2,Machine 1,58.26,standard,58.47,26.87,true
2024-12-26,Line B,Supplier 2,evening,744,Operator 2,Machine 1,72.19,premium,26.34,19.9,false
2025-04-25,Line A,Supplier 2,evening,509,Operator 4,Machine 3,38.96,premium,64.41,12.02,true
2025-09-27,Line B,Supplier 3,evening,343,Operator 4,Machine 1,18.53,premium,61.99,25.45,true
2024-07-05,Line A,Supplier 2,evening,422,Operator 6,Machine 3,31.31,premium,42.32,18.25,false
2024-04-24,Line C,Supplier 3,day,675,Operator 1,Machine 6,21.12,premium,43.95,19.7,false
2024-04-02,Line A,Supplier 2,day,914,Operator 6,Machine 2,35.5,standard,51.75,18.56,false
2025-04-20,Line B,Supplier 2,night,1203,Operator 2,Machine 5,38.23,standard,66.48,37.25,false
2025-07-22,Line C,Supplier 2,evening,774,Operator 7,Machine 3,38.46,standard,49.42,29.48,false
2024-05-29,Line D,Supplier 2,evening,144,Operator 7,Machine 5,29.49,premium,39.74,13.14,false
2024-08-20,Line C,Supplier 2,day,802,Operator 1,Machine 3,6.61,standard,56.21,18.06,false
2025-06-09,Line B,Supplier 3,night,592,Operator 4,Machine 3,15.56,premium,41.93,20.5,false
2024-01-13,Line D,Supplier 5,evening,759,Operator 8,Machine 2,31.86,premium,27.36,19.27,false
2024-01-13,Line A,Supplier 4,evening,580,Operator 5,Machine 5,26.83,standard,61.71,18.51,false
2025-01-13,Line D,Supplier 5,day,96,Operator 1,Machine 5,24.63,premium,26.82,11.34,true
2024-11-12,Line D,Supplier 2,evening,384,Operator 6,Machine 5,30.95,premium,43.86,26.1,false
2025-06-30,Line C,Supplier 2,evening,1287,Operator 2,Machine 3,38.62,premium,50.88,36.56,false
2025-07-02,Line B,Supplier 2,day,230,Operator 3,Machine 4,24.58,premium,70.72,20.94,false
2025-04-08,Line C,Supplier 4,evening,561,Operator 4,Machine 2,33.34,standard,58.63,29.89,false
2024-04-30,Line D,Supplier 1,day,165,Operator 1,Machine 4,26.04,premium,37.25,17.1,false
2024-04-02,Line B,Supplier 5,evening,1025,Operator 7,Machine 1,34.12,premium,45.01,19.01,false
2024-06-12,Line B,Supplier 4,evening,957,Operator 7,Machine 4,30.0,premium,62.73,14.7,false
2025-03-14,Line B,Supplier 2,night,664,Operator 3,Machine 2,34.58,standard,75.6,29.11,false
2025-09-25,Line D,Supplier 4,night,775,Operator 7,Machine 2,22.36,premium,46.89,27.27,true
2024-04-23,Line C,Supplier 3,evening,565,Operator 2,Machine 4,11.23,premium,74.03,8.32,false
2024-02-03,Line A,Supplier 2,night,629,Operator 3,Machine 5,27.73,premium,60.69,20.78,false
2024-03-24,Line C,Supplier 5,evening,312,Operator 1,Machine 5,28.42,premium,44.58,23.73,false
2025-08-04,Line B,Supplier 5,night,723,Operator 7,Machine 2,21.7,premium,48.47,14.73,true
2025-07-13,Line D,Supplier 1,day,724,Operator 4,Machine 1,45.32,premium,36.36,21.23,true
2024-12-25,Line A,Supplier 1,day,800,Operator 4,Machine 2,18.16,premium,31.65,30.04,false
2024-07-12,Line B,Supplier 1,evening,386,Operator 4,Machine 6,25.39,standard,56.9,21.08,false
2025-07-18,Line C,Supplier 4,night,805,Operator 7,Machine 5,24.84,premium,64.85,17.48,true
2024-06-15,Line A,Supplier 3,evening,380,Operator 5,Machine 3,17.12,premium,45.01,17.63,false
2025-05-27,Line B,Supplier 2,day,307,Operator 5,Machine 6,21.98,standard,58.89,13.01,false
2025-09-17,Line B,Supplier 1,day,703,Operator 6,Machine 2,44.44,standard,79.93,7.58,false
2024-01-27,Line C,Supplier 3,night,284,Operator 1,Machine 5,44.3,standard,86.42,21.15,true
2025-12-02,Line B,Supplier 4,day,721,Operator 6,Machine 6,44.25,premium,48.55,15.89,false
2025-02-09,Line B,Supplier 2,night,654,Operator 8,Machine 2,27.87,standard,61.66,25.76,true
2024-12-07,Line A,Supplier 2,day,941,Operator 2,Machine 4,29.42,premium,35.23,20.33,false
2025-04-24,Line A,Supplier 5,evening,770,Operator 3,Machine 3,55.52,premium,48.43,19.81,false
2024-03-21,Line A,Supplier 3,evening,549,Operator 1,Machine 2,15.72,standard,63.24,21.65,false
2025-10-27,Line D,Supplier 1,evening,584,Operator 3,Machine 5,33.75,premium,41.63,25.32,false
2025-02-17,Line B,Supplier 2,night,270,Operator 5,Machine 5,43.63,standard,71.58,13.31,false
2024-09-29,Line B,Supplier 3,evening,639,Operator 7,Machine 5,18.26,standard,52.64,10.0,false
2024-10-14,Line B,Supplier 1,night,716,Operator 6,Machine 6,56.6,standard,57.58,24.28,false
2025-05-21,Line C,Supplier 4,day,851,Operator 2,Machine 2,43.2,premium,34.3,32.13,true
2025-05-24,Line C,Supplier 1,evening,191,Operator 4,Machine 5,27.26,premium,33.91,21.78,true
2024-10-16,Line D,Supplier 1,night,323,Operator 8,Machine 1,42.98,standard,57.93,37.66,false
2024-05-03,Line A,Supplier 1,day,511,Operator 6,Machine 1,44.99,premium,40.41,22.79,false
2025-03-15,Line A,Supplier 2,night,737,Operator 7,Machine 3,40.82,premium,42.13,7.8,false
2024-12-22,Line A,Supplier 4,night,436,Operator 2,Machine 6,21.84,standard,61.0,16.72,true
2025-11-12,Line D,Supplier 5,day,993,Operator 2,Machine 6,62.03,premium,47.71,17.88,false
2024-05-19,Line C,Supplier 3,day,774,Operator 2,Machine 2,17.33,premium,63.43,24.04,false
2024-12-29,Line A,Supplier 2,evening,969,Operator 2,Machine 1,22.41,standard,53.93,27.48,false
2025-06-24,Line A,Supplier 4,day,310,Operator 8,Machine 4,34.67,premium,35.75,24.39,false
2025-06-17,Line D,Supplier 4,day,595,Operator 3,Machine 5,44.23,premium,36.22,32.44,false
2024-10-08,Line A,Supplier 3,evening,168,Operator 5,Machine 5,9.54,standard,51.99,3.24,false
2024-02-18,Line D,Supplier 2,day,886,Operator 3,Machine 2,30.46,standard,61.28,19.44,false
2024-03-15,Line B,Supplier 2,evening,64,Operator 3,Machine 3,29.5,premium,71.27,15.23,false
2024-01-25,Line B,Supplier 1,evening,966,Operator 3,Machine 3,44.69,premium,63.05,12.11,false
2024-04-19,Line A,Supplier 2,night,365,Operator 4,Machine 1,36.4,premium,44.87,20.46,false
2025-10-13,Line B,Supplier 1,day,759,Operator 5,Machine 4,36.78,premium,35.41,31.71,false
2025-12-10,Line B,Supplier 3,day,1459,Operator 2,Machine 6,46.52,premium,20.0,21.32,false
2024-09-07,Line C,Supplier 3,evening,1060,Operator 2,Machine 3,32.41,standard,61.84,16.61,false
2025-04-01,Line B,Supplier 5,day,1141,Operator 2,Machine 6,22.97,premium,37.64,29.82,false
2024-10-14,Line D,Supplier 4,night,762,Operator 5,Machine 1,52.11,premium,46.22,26.11,false
2024-05-17,Line B,Supplier 3,evening,838,Operator 2,Machine 2,43.22,standard,44.87,8.77,false
2025-09-18,Line D,Supplier 4,evening,1203,Operator 2,Machine 1,42.72,premium,91.89,10.36,true
2024-02-15,Line D,Supplier 3,night,391,Operator 4,Machine 4,47.28,premium,43.49,5.88,true
2025-01-31,Line B,Supplier 5,day,477,Operator 7,Machine 1,26.11,premium,44.19,29.14,false
2025-04-26,Line D,Supplier 5,night,623,Operator 1,Machine 6,29.56,premium,30.51,28.22,true
2025-12-03,Line A,Supplier 2,night,714,Operator 3,Machine 3,40.91,standard,62.98,30.19,false
2025-10-31,Line C,Supplier 2,night,776,Operator 3,Machine 6,20.7,standard,63.7,15.38,true
2024-09-02,Line A,Supplier 2,evening,348,Operator 8,Machine 1,23.99,standard,62.11,16.82,false
2024-05-08,Line B,Supplier 5,evening,384,Operator 1,Machine 2,27.63,premium,48.74,16.02,false
2024-07-05,Line B,Supplier 2,night,50,Operator 8,Machine 5,22.31,premium,33.33,14.81,true
2025-11-09,Line D,Supplier 3,day,763,Operator 4,Machine 1,19.89,standard,66.73,30.76,false
2024-03-19,Line B,Supplier 1,day,50,Operator 6,Machine 5,36.11,premium,26.76,27.03,false
2025-01-05,Line A,Supplier 5,day,1112,Operator 2,Machine 5,42.41,standard,55.53,23.78,false
2024-07-15,Line C,Supplier 2,day,1050,Operator 2,Machine 5,49.85,premium,38.07,13.83,false
2025-11-25,Line C,Supplier 2,evening,1262,Operator 2,Machine 6,46.34,premium,42.91,23.03,false
2025-12-11,Line A,Supplier 2,day,250,Operator 1,Machine 5,35.62,standard,80.18,12.35,false
2024-09-15,Line B,Supplier 3,evening,462,Operator 1,Machine 3,33.3,premium,54.4,19.59,false
2025-12-16,Line A,Supplier 4,day,929,Operator 2,Machine 1,39.11,standard,62.97,15.51,false
2024-03-28,Line A,Supplier 2,evening,1039,Operator 2,Machine 5,31.26,premium,20.0,17.33,false
2024-02-29,Line D,Supplier 2,day,390,Operator 4,Machine 5,43.18,standard,90.69,31.53,false
2024-01-11,Line C,Supplier 3,night,179,Operator 6,Machine 5,5.0,premium,46.75,22.36,true
2025-08-09,Line C,Supplier 5,night,614,Operator 8,Machine 4,46.73,premium,24.17,13.64,false
2024-08-16,Line D,Supplier 4,day,1012,Operator 2,Machine 5,32.13,premium,40.47,-1.17,false
2025-10-19,Line B,Supplier 5,night,301,Operator 2,Machine 5,33.42,standard,57.55,13.81,true
2025-06-28,Line A,Supplier 5,evening,757,Operator 2,Machine 2,52.81,premium,45.75,20.42,false
2025-11-21,Line A,Supplier 2,day,1137,Operator 2,Machine 3,43.76,standard,66.78,23.39,false
2025-10-16,Line C,Supplier 3,evening,542,Operator 7,Machine 1,44.43,standard,65.16,34.11,false
2024-10-10,Line B,Supplier 5,day,459,Operator 5,Machine 2,32.75,premium,46.98,9.5,false
2025-03-18,Line C,Supplier 3,evening,833,Operator 8,Machine 6,38.08,premium,21.01,16.69,false
2025-05-14,Line C,Supplier 5,day,609,Operator 8,Machine 5,47.2,premium,25.0,26.97,false
2025-12-02,Line C,Supplier 5,night,407,Operator 4,Machine 6,29.94,premium,53.57,29.69,false
2025-06-11,Line D,Supplier 3,night,662,Operator 6,Machine 4,7.0,premium,73.64,18.7,false
2024-09-28,Line B,Supplier 1,day,335,Operator 3,Machine 5,48.4,premium,45.97,13.32,false
2024-06-03,Line C,Supplier 2,night,711,Operator 3,Machine 5,28.4,premium,40.61,12.45,false
2025-04-03,Line C,Supplier 5,night,1092,Operator 2,Machine 6,47.75,standard,50.74,26.5,true
2024-10-06,Line C,Supplier 4,night,1586,Operator 2,Machine 2,22.38,premium,28.76,25.26,false
2024-05-31,Line D,Supplier 5,night,851,Operator 8,Machine 5,41.83,premium,42.93,38.03,false
2025-06-09,Line C,Supplier 5,day,413,Operator 1,Machine 3,15.1,standard,62.87,12.55,true
2025-06-17,Line A,Supplier 1,night,831,Operator 6,Machine 5,21.92,premium,54.62,20.11,false
2025-08-18,Line A,Supplier 3,day,974,Operator 6,Machine 4,44.04,standard,58.49,16.41,true
2025-06-26,Line A,Supplier 5,night,370,Operator 7,Machine 2,28.11,premium,38.48,27.15,true
2024-04-17,Line A,Supplier 4,evening,482,Operator 1,Machine 3,45.57,premium,39.11,16.59,false
2025-11-10,Line D,Supplier 2,day,279,Operator 1,Machine 5,52.44,premium,21.78,7.59,false
2024-08-05,Line D,Supplier 1,evening,603,Operator 3,Machine 2,28.36,standard,59.72,22.39,false
2024-04-12,Line B,Supplier 3,day,565,Operator 3,Machine 5,42.73,premium,30.39,20.3,false
2024-08-09,Line A,Supplier 3,day,1260,Operator 7,Machine 2,29.07,premium,45.25,18.41,false
2024-09-25,Line D,Supplier 4,night,811,Operator 5,Machine 3,37.78,premium,32.2,13.41,true
2025-08-29,Line A,Supplier 3,evening,566,Operator 5,Machine 4,44.31,premium,45.37,19.77,false
2024-08-15,Line C,Supplier 3,night,568,Operator 2,Machine 3,23.34,premium,54.6,30.57,false
2024-02-14,Line A,Supplier 1,day,613,Operator 6,Machine 5,6.42,standard,50.97,26.88,false
2025-08-22,Line A,Supplier 3,day,147,Operator 1,Machine 5,13.28,standard,55.07,2.29,false
2025-09-08,Line A,Supplier 3,day,489,Operator 6,Machine 2,40.21,standard,62.95,19.26,false
2025-09-06,Line C,Supplier 2,evening,1231,Operator 2,Machine 5,24.41,standard,45.27,17.61,false
2024-05-23,Line D,Supplier 1,night,893,Operator 8,Machine 2,19.56,standard,57.46,39.03,false
2024-05-11,Line D,Supplier 3,evening,870,Operator 3,Machine 6,20.87,premium,65.78,28.36,true
2024-09-12,Line B,Supplier 4,night,1299,Operator 8,Machine 3,37.88,premium,64.46,9.93,false
2024-07-09,Line B,Supplier 5,evening,924,Operator 3,Machine 6,36.98,standard,55.34,7.49,false
2025-01-26,Line D,Supplier 2,night,409,Operator 5,Machine 4,23.89,premium,20.0,21.76,false
2025-02-16,Line A,Supplier 1,evening,699,Operator 6,Machine 5,26.37,standard,53.63,32.22,true
2025-12-05,Line B,Supplier 3,night,963,Operator 2,Machine 3,43.91,premium,49.33,18.67,false
2024-12-24,Line C,Supplier 1,day,302,Operator 2,Machine 4,47.39,premium,37.72,22.82,false
2025-06-28,Line D,Supplier 5,evening,1191,Operator 5,Machine 6,53.07,standard,67.59,30.53,false
2024-10-03,Line D,Supplier 2,evening,368,Operator 3,Machine 1,43.71,premium,24.13,25.89,false
